angles,ranges
234.08374,143
234.46291,141.4
234.575,138.3
234.57888,139.9
234.75062,141.4
234.75166,139.9
234.78999,141.5
235.13055,139.9
235.22888,136.8
235.23124,138.3
235.32999,139.9
235.41749,138.3
235.42693,138.4
235.44999,139.9
235.79819,136.8
235.88277,135.2
235.8836,135.2
235.99916,138.3
236.08437,136.8
236.10221,136.8
236.10998,136.8
236.46583,136.8
236.53597,135.2
236.62999,136.8
236.66833,136.8
236.75124,135.2
236.76999,136.8
236.77749,135.2
237.13347,135.2
237.29534,135.2
237.33749,135.2
237.41812,133.7
237.42999,135.2
237.45277,133.7
237.80111,133.7
237.96069,135.2
238.00666,133.7
238.08499,132.1
238.08999,132.1
238.12804,132.1
238.28998,133.7
238.46875,130.5
238.62604,132.1
238.67583,132.1
238.74998,130.6
238.75187,130.6
238.95457,132.2
239.13639,130.5
239.29138,130.5
239.345,130.6
239.35,132.1
239.40999,130.6
239.41874,129
239.61915,130.6
239.80403,129
239.95673,129
240.01076,130.6
240.01416,129
240.06999,129
240.08562,127.5
240.28373,129.1
240.62208,129
240.67152,129
240.68333,127.5
240.72998,127.5
240.94832,127.5
241.28743,127.4
241.33229,127.5
241.3525,125.9
241.38998,125.9
241.6129,126
241.95277,124.3
241.99305,125.9
242.02166,124.3
242.04999,124.4
242.27748,124.4
242.61812,124.3
242.65381,124.3
242.69083,124.3
242.94207,124.4
243.28347,122.8
243.31458,122.8
243.60665,122.8
243.94881,122.8
243.97535,122.8
244.27123,121.3
244.63611,121.2
